Category,Sub Category,Sub Heading,Service,Service Title,Service Sub Title,gender,Short Description,Products,Approx Time,Service Cost,Product Cost,Basic Total Cost,description
Salon for Women,Waxing,Honey Wax (Tin),Full Arms + Half Legs + Underarms Waxing - Honey Wax,Full Arms + Half Legs + Underarms Waxing - Honey Wax,,FEMALE,"Aloe-Vera Waxing - Full Arms, Half Legs and Underarms","Waxing kit,Honey Gold Aloevera Wax",50,300,159,459,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."",""Use cold compression/water to soothe the skin post wax  use anti-biotic cream/aloe-vera gel to prevent infection."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "","" If you wish to use your own product, kindly uncheck product cost."",""Professionals will provide a waxing kit and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Clean-Up,Top Selling,Face Detox (Clean Up + Bleach + Threading),Face Detox,Clean Up + Bleach + Threading,FEMALE,Fruit Clean Up / Anti-Tan / Vit-C Brightening / Skin Tightening Clean Up O2 - Bleach (Face and Neck) Low Touch Threading - Eyebrows,"ODR O2 Bleach - Face,Facial Essentials Kit,ODR Fruit kit",75,450,478,928,"[{""title"":""THINGS TO KNOW"",""points"":[""Mono sachet will be used."",""No cuts, wounds, injury or infection on the area to be waxed and thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""Steam is not included.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Products will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Salon for Women,Bleach and Detan,Bleach and Detan,Full Body,Full Body,,FEMALE,"Helps in lightening the color of hair Gives naturally radiant skin instantly Removes Dark spots, Uneven skin tone, Dull skin, Dead skin cells Face and Neck is not included.",ODR Red Wine Bleach,60,360,500,860,"[{""title"":""BENEFITS"",""points"":[""Skin looks radiant and lightened."",""Lightens the facial hair evenly."",""It does not truly lighten your skin tone but gives the skin a lighter appearance.""]},{""title"":""PRECAUTIONS"",""points"":[""Cannot be done on very dry skin, sensitive skin, acne prone skin and pregnant women."",""Bleach is a chemical product."",""Tingling sensation can be felt on the area bleach is applied. It can vary from person-to-person.""]},{""title"":""THINGS TO KNOW"",""points"":[""Face  Neck is not included in Full Body Bleach.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Salon for Women,Bleach and Detan,Bleach and Detan,Full Body - Detan,Full Body,,FEMALE,Skin lightening and brightening products Evens skin tone Reduces tanning effect 'Face and Neck' is not included.,ODR De-Tan,60,360,595,955,"[{""title"":""BRAND"",""points"":[""Organica Da Roma""]},{""title"":""YES MADAM SAFETY"",""points"":[""Professionals equipped with fresh masks, gloves, head cover, shoe cover, apron and sanitisation kits."",""PPE Kit worn throughout the services"",""Daily temperature monitoring of all Professionals"",""Last 3 days temperature check displayed"",""Professionals trained to follow WHO personal hygiene guidelines"",""Updated health status On Aarogya Setu app"",""Professionals will provide a disposable mask, a pair of gloves and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Only one time usable products and disposable kit"",""Tools, equipment  surfaces sanitised in front of you"",""Super safe  relaxing pampering session by certified professionals"",""100% Post-service sanitization of Service area and high-touch points"",""Safe distance during services results in low risk of spreading or getting covid 19 virus.""]},{""title"":""RECOMMENDED FOR"",""points"":[""All skin type""]},{""title"":""BENEFITS"",""points"":[""Skin-lightening product. "",""Unique tan removing formula that lightens skin tone, removing tanning effect of the sun. ""]},{""title"":""INGREDIENTS"",""points"":[""Lactic Acids(milk protein) has skin lightening as well as anti-aging and anti-acne properties."",""Kojic Acid, reduce the production of melanin, giving your skin an overall lighter appearance"",""Lemon, loaded with healthy vitamins helps in moisturizing and toning oily skin"",""Chamomile Promote cell regeneration""]},{""title"":""THINGS TO KNOW "",""points"":[""Use of mono-sachet."",""5 Sachets of De-tan will be used. "",""Warm water is not recommeded to clean detan pack from the skin""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Salon for Women,Hair,Keratin Hair Spa with Serum,Hair Colour Application,Hair Colour Application,Touch up only with customer's product,FEMALE,Customer will provide hair colour.,,40,240,0,240,"[{""title"":""BRAND"",""points"":[""Customer\u0027s Product""]},{""title"":""RECOMMENDED FOR"",""points"":[""Inches coverage of white/grey hair""]},{""title"":""BENEFITS"",""points"":[""Even out the hair color""]},{""title"":""THINGS TO KNOW"",""points"":[""Hair should have been washed max, a day before applying hair color"",""Hair wash and blow dry are not included in the service."",""No cuts, wounds, injury or infection on the scalp."",""Hair should be washed 45 mins post application of color."",""To retain long term results, Customers should wash her hair with concerned shampoo and conditioner for colored hair"",""Hair spa and Hair color/heena application can\u0027t be done at the same time.""]},{""title"":""YES MADAM SAFETY"",""points"":[""Professionals equipped with fresh masks, gloves, head cover, shoe cover, apron and sanitisation kits."",""PPE Kit worn throughout the services"",""Daily temperature monitoring of all Professionals"",""Last 3 days temperature check displayed"",""Professionals trained to follow WHO personal hygiene guidelines"",""Updated health status On Aarogya Setu app"",""Professionals will provide a disposable mask, a pair of gloves and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Only one time usable products and disposable kit"",""Tools, equipment  surfaces sanitised in front of you"",""Super safe  relaxing pampering session by certified professionals"",""100% Post-service sanitization of Service area and high-touch points"",""Safe distance during services results in low risk of spreading or getting covid 19 virus.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Wax It with Bikini - Aloe-Vera (Waxing + Threading),Wax It with Bikini,Aloe-Vera Waxing + Threading,FEMALE,"Aloe-Vera Waxing - Bikini + Full Arms, Full Legs and Underarms Threading - Eyebrows, Upper Lips and Forehead","Bikini Wax Hygiene Kit,Waxing kit,Honey Gold Aloevera Wax",125,750,254,1004,"[{""title"":""BRAND"",""points"":[""Honey Gold""]},{""title"":""RECOMMENDED FOR"",""points"":[""All skin type""]},{""title"":""BENEFITS"",""points"":[""Removes Unwanted hair from  Full Arms, Full Legs, Underarms, Bikini Area, Butt Line and Bikini Line""]},{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summer and monsoon."",""Moisturize your skin well after the waxing session."",""No cuts, wounds, injury or infection on the area to be waxed and thread."",""Area to be waxed shouldn\u0027t be shaved in the past 3 weeks."",""Hair should be at least 0.25 inch to be able to wax properly."",""Hair should be at least 0.25 inch to be able to wax properly."",""No previous history of major reaction due to waxing."",""After waxing, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""Use ice if you have redness and bumping"",""Use anti-biotic cream to prevent infection"",""Wear loose and cotton cloth after waxing"",""Avoid hot tubs, hot baths and other chlorinated water for at least 48 hours"",""Shaving is not recommended if you are having Bikini waxing. Shaving after Bikini waxing can trigger various skin problems."",""Sweating can trigger skin problems as after waxing your skin becomes more vulnerable to skin problems. So, you should not attain exercise sessions after getting waxed.""]},{""title"":""FLAVOUR"",""points"":[""Normal Honey Chocolate Flav""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Honey Chocolate Wax box will not be handed over."",""In case you wish to use your own honey gold wax, please uncheck the product cost."",""Remaining handover wax (mentioned in app) should be used within 20-25 days."",""Once the lid of honey chocolate wax box is opened it can be used only for two waxing services."",""Make sure to add a Hygiene kit with your Bikini wax for getting silky, soft skin with utmost safety and no peril at all.""]}]"
Salon for Women,Waxing,Top Selling,Threading - Eyebrows,Threading - Eyebrows,,FEMALE,For maintaining/shaping brows look,,5,30,0,30,"[{""title"":""YES MADAM SAFETY"",""points"":[""Safe distance during services results in low risk of spreading or getting covid 19 virus."",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread.""]},{""title"":""RECOMMENDED FOR"",""points"":[""Unwanted hair near Eyebrows"",""For maintaining/shaping brows look"",""Safe for all skin types""]},{""title"":""BENEFITS"",""points"":[""Instantly clears off the area around eyebrows "",""Ideal for smaller and sensitive area"",""Doesn\u0027t create ingrown hairs"",""Very precise finishing""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]}]"
Salon for Women,Waxing,Top Selling,Head Massage (15 mins),Head Massage (15 mins),,FEMALE,Helps prevent migraines Promotes hair growth,Fyc Hair Oil 15ml,15,90,49,139,"[{""title"":""RECOMMENDED FOR"",""points"":[""Rebalancing the body\u0027s energies, refreshing the energy systems""]},{""title"":""BENEFITS"",""points"":[""Helps prevent migraines, headaches and back pain"",""Promotes hair growth"",""Detoxifies the body by stimulating lymphatic drainage"",""Relieves sleeplessness, restlessness and insomnia"",""Relieves symptoms of anxiety and depression"",""Renews energy levels"",""Boosts memory capabilities.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Salon for Women,Waxing,Top Selling,Threading - Upper Lips,Threading - Upper Lips,,FEMALE,Removes unwanted hair from Upper Lips,,5,30,0,30,"[{""title"":""YES MADAM SAFETY"",""points"":[""Safe distance during services results in low risk of spreading or getting covid 19 virus."",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread.""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]}]"
Salon for Women,Waxing,Top Selling,Threading - Forehead,Threading - Forehead,,FEMALE,Removes unwanted hair from Forehead,,5,30,0,30,"[{""title"":""YES MADAM SAFETY"",""points"":[""Safe distance during services results in low risk of spreading or getting covid 19 virus."",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread.""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]}]"
Salon for Women,Waxing,Top Selling,Threading - Chin,Threading - Chin,,FEMALE,Removes unwanted hair from Chin,,5,30,0,30,"[{""title"":""YES MADAM SAFETY"",""points"":[""Safe distance during services results in low risk of spreading or getting covid 19 virus."",""Low-contact salon services for maximum hygiene - Mouth-less Threading : Beautician will use a handkerchief/scarf instead of mouth to hold a fresh, sanitized thread.""]},{""title"":""THINGS TO KNOW"",""points"":[""No cuts, wounds, boils, injury or infection on the area to be thread."",""Skin of the area to be thread should not be too loose, else chances of cuts are too high."",""After threading, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will not be handed over.""]}]"
Salon for Women,Waxing,Top Selling,De-Tan (Face and Neck),De-Tan (Face and Neck),,FEMALE,Skin-lightening natural product Lightens skin tone Reduces tanning effect of the sun,ODR De-Tan,30,180,119,299,"[{""title"":""BRAND"",""points"":[""Organica Da Roma""]},{""title"":""RECOMMENDED FOR"",""points"":[""All skin type"",""Tanned skin""]},{""title"":""BENEFITS"",""points"":[""Skin-lightening product."",""Unique tan reducing formula that lightens skin tone, reducing tan effect of the sun"",""De-Tan is a natural product.""]},{""title"":""INGREDIENTS"",""points"":[""Lactic Acids(milk protein) has skin lightening as well as anti-aging and anti-acne properties."",""Kojic Acid, reduce the production of melanin, giving your skin an overall lighter appearance""]},{""title"":""PRECAUTIONS"",""points"":[""Not to use with O3+ facials/clean ups."",""Can give slight tingling sensation when applied on the skin. It can vary from person-to-person.""]},{""title"":""THINGS TO KNOW "",""points"":[""Use of mono-sachet."",""For reducing old and deep tan, you\u0027ll need multiple sessions ""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Salon for Women,Waxing,Top Selling,O2 Bleach (Face and Neck),O2 Bleach (Face and Neck),,FEMALE,Helps in lightening the color of facial hair Gives naturally radiant skin instantly,ODR O2 Bleach - Face,30,180,69,249,"[{""title"":""RECOMMENDED FOR"",""points"":[""All skin type""]},{""title"":""BENEFITS"",""points"":[""Bleaches facial hair to the skin tone perfectly."",""Gives radiant skin instantly""]},{""title"":""PRECAUTIONS"",""points"":[""Cannot be done on sensitive, very dry and acne prone skin."",""Avoid bleach while you are pregnant."",""Avoid using bleach with peel or detan pack"",""Tingling sensation can be felt on the area bleach is applied. It can vary from person-to-person.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. ""]}]"
Salon for Women,Waxing,Top Selling,Rica Bean Hygiene Bikini Wax,Rica Bean Hygiene Bikini Wax,,FEMALE,"Removes Unwanted hair from Bikini Area, Butt Line and Bikini Line","Bikini Wax Hygiene Kit,Bikini Stripless Korean Bean Wax 80g",60,360,389,749,"[{""title"":""BRAND"",""points"":[""Rica Brazilian/Bean Hygiene Wax""]},{""title"":""RECOMMENDED FOR"",""points"":[""Sensitive areas"",""Unwanted hair on Bikini area"",""Tanned Skin"",""In growth Hair""]},{""title"":""BENEFITS"",""points"":[""Removes superficial tanning"",""Brazilian (Peel-Off) wax removes unwanted hair from sensitive areas gently"",""Renowned for natural soothing and emollient actions."",""Brazilian wax is the most hygienic way of waxing"",""Less painful than strip wax""]},{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summer and monsoon."",""Use of pre-wax gel"",""Use of after wax lotion"",""Use of wooden disposable spatula"",""Brazilian wax is highly recommended on sensitive areas - Bikini areas and Face"",""No cuts, wounds, injury or infection on the area to be waxed."",""Area to be waxed shouldn\u0027t be shaved in the past 3 weeks."",""Hair should be at least 0.25 inch to be able to wax properly."",""No previous history of major reaction due to waxing."",""After waxing, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""Use ice if you have redness and bumping"",""Use anti-biotic cream to prevent infection"",""Wear loose and cotton cloth after waxing"",""Avoid hot tubs, hot baths and other chlorinated water for at least 48 hours"",""Shaving is not recommended if you are having Brazilian waxing. Shaving after Brazilian waxing can trigger various skin problems."",""Sweating can trigger skin problems as after waxing your skin becomes more vulnerable to skin problems. So, you should not attain exercise sessions after getting waxed.""]},{""title"":""FLAVOUR"",""points"":[""Avocado Butter""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Rica Wax Box will not be handed over, if left."",""In case you wish to use your own rica wax, please uncheck the product cost."",""If customer is not providing her own Pre Gel and Post Oil, in that case they have to pay Rs. 100/- EXTRA."",""Make sure to add a Hygiene kit with your Bikini wax for getting silky, soft skin with utmost safety and no peril at all.""]}]"
Salon for Women,Waxing,Intimate Waxing,Bikini Line / Butt Line,Bikini Line / Butt Line,,FEMALE,Removes unwanted hair from Bikini Line / Butt Line,"Bikini Wax Hygiene Kit,Rica Brazillian / Rica Bean Wax",15,90,233,323,"[{""title"":""BRAND"",""points"":[""Rica Brazilian""]},{""title"":""RECOMMENDED FOR"",""points"":[""Sensitive areas ""]},{""title"":""BENEFITS"",""points"":[""Brazilian (Peel-Off) wax removes unwanted hair from sensitive areas gently"",""Brazilian wax is the most hygienic way of waxing "",""Less painful than strip wax""]},{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summer and monsoon."",""Use of pre-wax gel, after wax lotion and wooden disposable spatula"",""Professionals will provide a disposable mask, a pair of gloves, a bikini wax hygiene kit and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Brazilian wax is highly recommended on sensitive areas - Bikini areas and Face"",""No cuts, wounds, injury or infection on the area to be waxed."",""Area to be waxed shouldn\u0027t be shaved in the past 3 weeks."",""Hair should be at least 0.25 inch to be able to wax properly."",""No previous history of major reaction due to waxing."",""After waxing, there would be possibility of getting skin redness / hives / inflammation, which subsides in few hours depending on person to person."",""Use ice if you have redness and bumping"",""Use anti-biotic cream to prevent infection"",""Wear loose and cotton cloth after waxing"",""Avoid hot tubs, hot baths and other chlorinated water for at least 48 hours"",""Shaving is not recommended if you are having Brazilian waxing. Shaving after Brazilian waxing can trigger various skin problems."",""Sweating can trigger skin problems as after waxing your skin becomes more vulnerable to skin problems. So, you should not attain exercise sessions after getting waxed.""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Rica Wax Box will not be handed over, if left."",""In case you wish to use your own rica wax, please uncheck the product cost. "",""If customer is not providing her own Pre Gel and Post Oil, in that case they have to pay Rs. 100/- EXTRA."",""Make sure to add a Hygiene kit with your Bikini wax for getting silky, soft skin with utmost safety and no peril at all.""]}]"
Salon for Men,Book Packages,Hair Care Packages,Creative Hair Cut (Hair Cut for 2),Creative Hair Cut (Hair Cut for 2),,MALE,At Home safety ensured Hassle free haircut  Recommended for 2 men,Male Disposable Kit,60,360,60,420,"[{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Enjoy your best services at your doorsteps now."",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts use their own private vehicle and avoid touch greetings"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers.""]},{""title"":""WHAT\u0027S INCLUDED?"",""points"":[""Hassle free haircut "",""Personalized haircut which suits your personality "",""Consultation for designer haircut"",""Recommended for 2 men""]},{""title"":""BRANDS AND EQUIPMENT USED"",""points"":[""Professional clipper "",""Professional scissors "",""Mirror"",""Disposable razors"",""Spray bottle "",""Floor sheet "",""Disinfectant"",""Hand gloves "",""Masks "",""Safety kits ""]},{""title"":""WHY SHOULD YOU GET THIS DONE?"",""points"":[""Enhance your personality "",""Routine maintenance of your hairs"",""To get desired look ""]},{""title"":""YES MADAM SUGGESTION"",""points"":[""Consult out expert for better experience and suggestions ""]}]"
Salon for Men,Book Packages,Hair Care Packages,Hair Cut + Shaving + 10 Minutes Head Massage,Hair Cut + Shaving,10 Minutes Head Massage,MALE,Hair Cut Clean Shave 10 min relaxing head massage with oil,"Fyc Hair Oil 15ml,Product",60,360,74,434,"[{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Enjoy your best services at your doorsteps now."",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts use their own private vehicle and avoid touch greetings"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers.""]},{""title"":""WHAT\u0027S INCLUDED?"",""points"":[""Hassle free haircut "",""Personalized haircut which suits your personality "",""Consultation for designer haircut"",""Professional gentle clean shave ""]},{""title"":""BRANDS AND EQUIPMENT USED"",""points"":[""Professional clipper "",""Professional scissors "",""Mirror"",""Disposable razors"",""Spray bottle "",""Floor sheet "",""Disinfectant"",""Hand gloves "",""Masks "",""Safety kits ""]},{""title"":""WHY SHOULD YOU GET THIS DONE?"",""points"":[""Enhance your personality "",""Routine maintenance of your hairs"",""To get clean and gentle look ""]},{""title"":""YES MADAM SUGGESTION"",""points"":[""Consult out expert for better experience and suggestions ""]}]"
Salon for Men,Book Packages,Hair Care Packages,Hair Cut + 10 min Head Massage + Kumkumadi Sheet Mask,Hair Cut + 10 min Head Massage,Kumkumadi Sheet Mask,MALE,Hair Cut 10 min relaxing head massage with oil Kumkumadi Sheet Mask,"Sokora Day And Night Sheet Mask,Fyc Hair Oil 15ml",60,360,248,608,"[{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Enjoy your best services at your doorsteps now."",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts use their own private vehicle and avoid touch greetings"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers.""]},{""title"":""WHAT\u0027S INCLUDED?"",""points"":[""Hassle free haircut "",""Personalized haircut which suits your personality "",""Consultation for designer haircut"",""10 min Relaxing head and hair oil massage ""]},{""title"":""BRANDS AND EQUIPMENT USED"",""points"":[""Professional clipper "",""Professional scissors "",""Mirror"",""Disposable razors "",""Spray bottle "",""Floor sheet "",""Disinfectant"",""Hand gloves "",""Masks "",""Safety kits"",""Bajaj Almond Oil ""]},{""title"":""WHY SHOULD YOU GET THIS DONE?"",""points"":[""Enhance your personality"",""Routine maintenance of your hairs"",""To get desired look ""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. "",""Consult out expert for better experience and suggestions ""]}]"
Salon for Men,Book Packages,Hair Care Packages,Hair Cut + 15 min Head Massage,Hair Cut + 15 min Head Massage,,MALE,Hair Cut 15 min relaxing head massage with oil,Fyc Hair Oil 15ml,50,300,49,349,"[{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Enjoy your best services at your doorsteps now."",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts use their own private vehicle and avoid touch greetings"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers.""]},{""title"":""WHAT\u0027S INCLUDED?"",""points"":[""Hassle free haircut "",""Personalized haircut which suits your personality "",""Consultation for designer haircut"",""Relaxing head and hair oil massage ""]},{""title"":""BRANDS AND EQUIPMENT USED"",""points"":[""Professional clipper "",""Professional scissors "",""Mirror"",""Disposable razors "",""Spray bottle "",""Floor sheet "",""Disinfectant"",""Hand gloves "",""Masks "",""Safety kits"",""Bajaj Almond Oil ""]},{""title"":""WHY SHOULD YOU GET THIS DONE?"",""points"":[""Enhance your personality"",""Routine maintenance of your hairs"",""To get desired look ""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. "",""Consult out expert for better experience and suggestions ""]}]"
Salon for Men,Book Packages,Hair Care Packages,Hair Cut + Shave + 15 min Head Massage,Hair Cut + Shave,15 min Head Massage,MALE,Hair Cut Clean Shave 15 min relaxing head massage with oil,"Fyc Hair Oil 15ml,Product",65,390,74,464,"[{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Enjoy your best services at your doorsteps now."",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts use their own private vehicle and avoid touch greetings"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers.""]},{""title"":""WHAT\u0027S INCLUDED?"",""points"":[""Hassle free haircut "",""Personalized haircut which suits your personality "",""Consultation for designer haircut"",""Professional gentle clean shave "",""20 min Relaxing head and hair oil massage ""]},{""title"":""BRANDS AND EQUIPMENT USED"",""points"":[""Professional clipper "",""Professional scissors "",""Mirror"",""Disposable razors"",""Spray bottle "",""Floor sheet "",""Disinfectant"",""Hand gloves "",""Masks "",""Safety kits"",""Bajaj Almond Oil ""]},{""title"":""WHY SHOULD YOU GET THIS DONE?"",""points"":[""Enhance your personality"",""Routine maintenance of your hairs"",""To get desired look ""]},{""title"":""YES MADAM SUGGESTIONS"",""points"":[""Product will be handed over, if left."",""In case you wish to use your own product, please uncheck the product cost. "",""Consult out expert for better experience and suggestions ""]}]"
Salon for Men,Book Packages,Hair Care Packages,Hair Cut + Hair Colour Application,Hair Cut + Hair Colour Application,,MALE,Hair Cut Hair Colour (Application Only) Customer's Product,,50,300,0,300,"[{""title"":""WHY FROM YES MADAM - AT HOME GROOMING?"",""points"":[""Enjoy your best services at your doorsteps now."",""Our services providers are well trained for COVID-19 and precautions "",""Our experts update their daily temperature over their Yes Madam partner app "",""Our experts use disinfectants to disinfect their equipment, tools and working area "",""We only use disposable bed sheets, disposable masks and disposable razors etc"",""Our experts use their own private vehicle and avoid touch greetings"",""Our experts wear full PPE kit - masks, disposable gloves and shoe cover throughout the service."",""Our experts will provide a disposable mask and a pair of gloves to the customers.""]},{""title"":""WHAT\u0027S INCLUDED?"",""points"":[""Hassle free haircut "",""Hair Color (Application Only)""]},{""title"":""THINGS TO KNOW"",""points"":[""Hair should have been washed max, a day before applying hair color"",""Hair wash and blow dry are not included in the service."",""No cuts, wounds, injury or infection on the scalp."",""Hair should be washed 45 mins post application of color."",""To retain long term results, Customers should wash his hair with concerned shampoo and conditioner for colored hair"",""Hair spa and Hair color/heena application can\u0027t be done at the same time.""]},{""title"":""BRANDS AND EQUIPMENT USED"",""points"":[""Professional clipper "",""Professional scissors "",""Mirror"",""Disposable razors "",""Spray bottle "",""Floor sheet "",""Disinfectant"",""Hand gloves "",""Masks "",""Safety kits "",""Color Brush""]},{""title"":""WHY SHOULD YOU GET THIS DONE?"",""points"":[""Routine maintenance of your hairs"",""coverage of white/grey hair"",""Even out the hair color"",""To get desired look "",""Enhance your personality ""]},{""title"":""YES MADAM SUGGESTION"",""points"":[""Consult out expert for better experience and suggestions ""]}]"
