Category,Sub Category,Sub Heading,Service,Service Title,Service Sub Title,gender,Short Description,Products,Approx Time,Service Cost,Product Cost,Basic Total Cost,description
Salon for Women,Waxing,Rica Wax (Tin),Full Legs Waxing - Rica Wax,Full Legs Waxing - Rica Wax,,FEMALE,In growth Hair Removes unwanted hair from Full Legs,"Rica Wax,Waxing kit",26,156,343,499,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."","" Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Rica Wax box will not be handed over."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Rica Wax (Tin),Full Body Waxing - Rica Wax,Full Body Waxing - Rica Wax,"Except face, bikini and butt area",FEMALE,"Except Face, Bikini and Butt Area","Rica Wax,Waxing kit",122,732,967,1699,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Underarms are done with Sokora Bean Hygiene Wax."",""Face wax, butt wax  bikini wax is not included in this service."",""Rica Wax box will not be handed over."","" If you wish to use your own product, kindly uncheck product cost."",""If using your own product, kindly provide pre wax gel  post wax oil else extra Rs. 100/- will be charged.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by pre-wax gel application on body parts to be waxed."",""Waxing: Wax application  removal."",""Post-Wax Care: Application of post wax oil  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing."",""Avoid exercising for a few hours as sweat can cause skin irritation."","" Avoid shaving post wax as it can trigger skin problems.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Underarms Waxing - Honey Wax,Underarms Waxing - Honey Wax,,FEMALE,Removes unwanted hair from underarms,Honey Gold Aloevera Wax,8,48,1,49,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Stomach Waxing - Honey Wax,Stomach Waxing - Honey Wax,,FEMALE,Removes unwanted hair from Stomach,"Waxing kit,Honey Gold Aloevera Wax",25,150,159,309,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrub/bleach/detan pack) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Half Legs Waxing - Honey Wax,Half Legs Waxing - Honey Wax,,FEMALE,Removes unwanted hair from half legs (From toes to the knee),"Honey Gold Aloevera Wax,Waxing kit",12,72,159,231,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Full Arms Waxing - Honey Wax,Full Arms Waxing - Honey Wax,,FEMALE,Without Underarms Removes unwanted hair from Full Hands,"Honey Gold Aloevera Wax,Waxing kit",25,150,159,309,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrub/bleach/detan pack) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Full Back Waxing - Honey Wax,Full Back Waxing - Honey Wax,,FEMALE,Removes unwanted hair from Full Back,"Honey Gold Aloevera Wax,Waxing kit",30,180,159,339,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrub/bleach/detan pack) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Full Legs Waxing - Honey Wax,Full Legs Waxing - Honey Wax,,FEMALE,All skin type Removes unwanted hair from Full Legs,"Honey Gold Aloevera Wax,Waxing kit",26,156,159,315,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."","" If you wish to use your own product, kindly uncheck product cost."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "",""Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil) and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrub/bleach/detan pack) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Bikini Waxing - Honey Wax,Bikini Waxing - Honey Wax,,FEMALE,"Removes Unwanted hair from Bikini Area, Butt Line and Bikini Line","Bikini Wax Hygiene Kit,Honey Gold Aloevera Wax",60,360,204,564,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."",""Use cold compression/water to soothe the skin post wax  use anti-biotic cream/aloe-vera gel to prevent infection."",""Wax box will be handed over, if left. Rica Wax Box will not be handed over while upgrading from Normal to Rica Wax. "",""If you wish to use your own product, kindly uncheck product cost."","" Professionals will provide a waxing kit (10 Wax strips, 5 Wooden spatulas, Pre-wax gel  Post wax oil), a disposable kit (gown, bedsheet, towels, tissues etc.) and a bikini hygiene kit (1 sanitizer, 1 intimate wash, 2 gloves, 8 wooden spatulas, 2 tissues, 1 after wax aloe vera gel) to the customers.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":["" Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (scrub/hair removal cream) on waxed skin."",""Avoid hot tubs/ hot baths  chlorinated water for atleast 48 hours. "",""Wear loose cotton clothes after waxing."",""Avoid exercising for a few hours as sweat can cause skin irritation."","" Avoid shaving post wax as it can trigger skin problems.""]}]"
Salon for Women,Waxing,Honey Wax (Tin),Full Body Waxing - Honey Wax,Full Body Waxing - Honey Wax,"Except face, bikini and butt area",FEMALE,"Except Face, Bikini and Butt Area","Waxing kit,Honey Gold Aloevera Wax",122,732,159,891,"[{""title"":""THINGS TO KNOW"",""points"":[""AC is highly recommended for waxing during summers, monsoon  even in winters."",""Areas with wounds  cuts won\u0027t be waxed."",""No previous history of major reaction due to waxing."",""Hair should be at least 0.25 inch to be able to wax properly."",""There might be some redness on the skin post wax which will reside in a few hours."",""Professionals will provide a waxing kit and a disposable kit (gown, bedsheet, towels, tissues etc.) to the customers."",""Face wax, butt wax  bikini wax is not included in this service."",""Wax box will be handed over, if left. Rica wax box will not be handed over while upgrading from Normal to Rica wax. "","" If you wish to use your own product, kindly uncheck product cost.""]},{""title"":""PROCEDURE"",""points"":[""Pre-Wax Preparation: Wax station set-up followed by powder application on body parts to be waxed."",""Waxing: Wax application  removal."",""Cleansing: Cleaning the waxed skin to remove wax residue."",""Post-Wax Care: Application of post wax lotion/balm  soothing massage to calm the waxed skin."",""Post-Service Cleanup: Disposal of items and cleanup of the service area.""]},{""title"":""AFTERCARE TIPS"",""points"":[""Moisturise your skin with a soothing moisturizer/Aloe Vera Gel to calm it."",""Do not use harsh products (Deodorant/scrubs/bleach/detan packs) on waxed skin."",""Avoid direct sun exposure/ hot/warm showers/ chlorinated water for a few hours."",""Wear loose cotton clothes after waxing."",""Avoid exercising for a few hours as sweat can cause skin irritation."","" Avoid shaving post wax as it can trigger skin problems.""]}]"
